contents,category
【中国首个mRNA新冠疫苗生产车间奠基 一期可年产1.2亿剂】中国首个mRNA新冠疫苗生产车间建设奠基仪式21日在云南省玉溪市疫苗产业园举行。该mRNA新冠疫苗产业化建设项目投资2.8亿元人民币，一期产能为每年1.2亿剂，预计开工后8个月内建成投入运营。该新型冠状病毒mRNA疫苗(ARcoVax)由中国人民解放军军事科学院军事医学研究院、苏州艾博生物科技有限公司与云南沃森生物技术股份有限公司(“沃森生物”)共同研制，由沃森生物负责该疫苗的产业化建设落地。该疫苗产品一旦获批，将实现中国创新技术路线的mRNA疫苗“零”突破。该疫苗拥有自主知识产权，其核心原料和关键设备已实现国产化。（中新网）,银行
【全国住房和城乡建设工作会议：稳妥实施房地产长效机制方案】12月21日，全国住房和城乡建设工作会议在京召开。会议要求，2021年要重点抓好八个方面工作。其中包括：稳妥实施房地产长效机制方案，促进房地产市场平稳健康发展。牢牢坚持房子是用来住的、不是用来炒的定位，全面落实房地产长效机制，强化城市主体责任，完善政策协同、调控联动、监测预警、舆情引导、市场监管等机制，保持房地产市场平稳运行。,房地产开发
  【全国住建工作会议：大力发展租赁住房，解决好大城市住房突出问题】12月21日，全国住房和城乡建设工作会议在京召开。会议要求，2021年要大力发展租赁住房，解决好大城市住房突出问题。加强住房市场体系和住房保障体系建设，加快补齐租赁住房短板，解决好新市民、青年人特别是从事基本公共服务人员等住房困难群体的住房问题。加快构建以保障性租赁住房和共有产权住房为主体的住房保障体系。扩大保障性租赁住房供给，做好公租房保障，在人口净流入的大城市重点发展政策性租赁住房。,房地产开发
【收评：两市单边上行创指大涨3.66% 新能源车板块领涨】12月21日消息，三大指数开盘涨跌不一，开盘后震荡拉升，创指重回2800点，深成指重返14000点。盘面上，农业种植板块表现强势。临近上午收盘，创业板指涨幅扩大至2%，汽车、券商等板块先后拉升。总体市场氛围不错，个股涨多跌少，赚钱效应回升。午后，三大指数持续拉升，创业板指涨超3%，新能源汽车板块发力，市场总体氛围较好，赚钱效应回暖，成交量放大。截至收盘，沪指涨0.76%，深证成指涨2.03%，创业板指涨3.66%。从盘面上看，农业种植、半导体、啤酒板块涨幅居前，机场航运、景点旅游、医美概念跌幅居前。,白酒
【午评：两市下探回升沪指跌0.2% 白酒板块表现亮眼】两市低开，三开盘后大指数震荡走弱，盘面上，流感、白酒板块走强，石油加工开采、有色金属板块走弱。此后指数持续弱势震荡整理，锂电池板块较为强势。临近上午收盘，三大指数拉升，创指、深成指翻红，总体两市跌多涨少，赚钱效应一般。从盘面上看，白酒、医疗器械服务、纺织制造板块涨幅居前，石油加工开采、煤炭、半导体板块跌幅居前。,白酒
2020年12月22日下午，中国人民银行行长易纲会见了香港金管局与香港银行公会代表团，双方就粤港澳大湾区绿色金融发展、人民币国际化等议题交换了意见。,银行
贵州茅台股价站上1900元，再创历史新高。,白酒
  酿酒板块持续拉升，莫高股份、会稽山、惠泉啤酒、金种子酒等逾5股涨停，古越龙山、老白干酒、兰州黄河等个股涨超7%。,白酒
快讯：创业板涨逾1％，沪指0.7％。白酒、固态电池、煤炭等板块涨幅靠前。,白酒
【午评：两市高开高走沪指涨0.85% 新能源车板块走强】三大指数高开，开盘后震荡拉升，创指涨幅扩大至1%，此前一度翻绿，盘面上，风电、新能源汽车、酿酒等板块表现强势，个股总体涨多跌少，赚钱效应尚可。临近上午收盘，指数持续走高，三大指数均涨逾1%。不过分化较为严重，资金抱团行为愈演愈烈。从盘面上看，汽车、煤炭、风电板块涨幅居前，医疗器械服务、流感、医美板块跌幅居前。,白酒
白酒股走弱，老白干酒、青青稞酒、金种子酒炸板跳水，伊力特、山西汾酒、贵州茅台、迎驾贡酒等纷纷翻绿。,白酒
  ST舍得跳水跌停，金种子酒跳水翻绿。,白酒
  青青稞酒尾盘封板，老白干酒、大湖股份等回暖。,白酒
【收评：两市高开高走创指涨1% 国防军工板块午后走强】三大指数高开，开盘后震荡拉升，创指涨幅扩大至1%，此前一度翻绿，盘面上，风电、新能源汽车、酿酒等板块表现强势，赚钱效应尚可。午后，三大指数午后小幅回落，盘面上，白酒板块跳水，半导体板块有冲高，临近盘尾，指数再度回升，个股整体做多氛围偏强。从盘面上看，汽车、煤炭、半导体板块涨幅居前，猪肉、医疗器械服务、医美概念跌幅居前。,白酒
【上交所：稳步提高直接融资比重，畅通资本与实体对接渠道】12月23日，上海证券交易所召开党委会会议。稳步提高直接融资比重，畅通资本与实体对接渠道，平衡投融资关系。深化注册制改革，畅通直接融资入口；关注上市公司经营质量，夯实直接融资基石；直面实体企业需求，丰富直接融资工具。平衡好投融资关系，提升投资者获得感。,银行
【午评：三大指数震荡走弱沪指跌0.21% 军工板块逆市领涨】三大指数小幅低开，开盘后指数延续调整，军工板块表现强势，白酒板块集体杀跌，总体个股跌多涨少，赚钱效应较差。临近上午收盘，三大指数总体震荡下行，个股跌多涨少，白酒板块集体重挫，市场炸板率走高，大盘赚钱效应较差。从盘面上看，军工、航运、银行板块涨幅居前，白酒、汽车、医疗器械服务板块跌幅居前。,白酒
【午评：三大指数震荡走弱沪指跌0.21% 军工板块逆市领涨】三大指数小幅低开，开盘后指数延续调整，军工板块表现强势，白酒板块集体杀跌，总体个股跌多涨少，赚钱效应较差。临近上午收盘，三大指数总体震荡下行，个股跌多涨少，白酒板块集体重挫，市场炸板率走高，大盘赚钱效应较差。从盘面上看，军工、航运、银行板块涨幅居前，白酒、汽车、医疗器械服务板块跌幅居前。,银行
【收评：三大指数弱势调整沪指跌0.6% 酿酒板块现跌停潮】三大指数小幅低开，开盘后指数延续调整，军工板块表现强势，白酒板块集体杀跌，总体个股跌多涨少，赚钱效应较差。临近上午收盘，三大指数总体震荡下行，个股跌多涨少，白酒板块集体重挫，市场炸板率走高，大盘赚钱效应较差。午后，三大指数午后持续走弱，创指一度跌超1%。盘面上，煤炭板块午后拉升，总体两市个股，跌停家数较多，赚钱效应也相应较差。从盘面上看，国防军工、航运、燃气水务板块涨幅居前，白酒、汽车、食品加工制造板块跌幅居前。,白酒
【央行：推动债券市场法制建设 提升债券市场法治化水平】12月22日，人民银行组织召开债券市场法制建设座谈会，会议由人民银行党委委员、副行长潘功胜主持。潘功胜强调，下一步人民银行将与相关部门、学界、业界共同努力，坚决落实中央经济工作会议关于完善债券市场法制，促进资本市场健康发展的决策部署，以债券市场法制建设中的问题为导向，推动完善债券市场法律体系，全面提升债券市场法治水平，对债券市场违法行为零容忍，不断夯实债券市场信用基础，助力债券市场健康平稳发展。,银行
【贵州茅台回应：监管函与日前股权划转一事无关 只是常规事情】12月24日，上交所披露对贵州茅台下发监管工作函，涉及对象为上市公司，处理事由为“关于相关事项的监管工作函”，但并未披露具体内容。记者自贵州茅台方面获悉，本次收到的监管工作函与股权划转无关。“这封监管函只是常规的事情，首先按规定是不需要披露的。最近公司的关注度比较高，交易所这次是提醒公司做好相关工作，避免在公开场合发布未披露信息。”（新京报）,白酒
【金种子酒拉升翻红】前期白酒龙头金种子酒拉升翻红，早盘一度跌停，带动皇台酒业、青青稞酒等个股打开跌停板。,白酒
【午评：三大指数震荡上行沪指涨0.78% 电力板块涨停潮】三大指数低开，开盘后延续调整，煤炭、电力板块板块活跃，白酒板块小幅回升，总体赚钱效应一般。临近上午收盘，三大指数集体翻红，有色、港口航运、券商等板块拉升走高，总体两市个股涨多跌少，跌停家数减少，市场赚钱效应转暖。从盘面上看，电力、燃气水务、有色加工冶炼板块涨幅居前，农业种植、猪肉、白酒板块跌幅居前。,白酒
【收评：三大指数震荡走高沪指涨1% 电力股现涨停潮】三大指数低开，开盘后延续调整，煤炭、电力板块板块活跃，白酒板块小幅回升，总体赚钱效应一般。临近上午收盘，三大指数集体翻红，有色、港口航运、券商等板块拉升走高，总体两市个股涨多跌少，跌停家数减少，市场赚钱效应转暖。午后，三大指数震荡盘整，沪指涨逾1%。盘面上，煤炭、电力较为活跃，白酒板块再度回落，券商走高，总体个股涨多跌少，市场总体氛围尚可。从盘面上看，电力、金属钴、煤炭板块领涨，啤酒、白酒、养殖业板块领跌。,白酒
【中国央行：统一公司信用类债券信息披露标准 推动债市持续健康发展】中国央行：中国人民银行会同国家发展改革委、中国证监会，制定了《公司信用类债券信息披露管理办法》，现予以公布，自2021年5月1日施行。《管理办法》统一公司信用类债券发行及存续期的信息披露要求，包括发行阶段披露的文件内容、募集资金、企业内控制度等要求，以及存续期间的披露要件、披露频率、披露时点等方面要求。结合新《证券法》，明确了二十二项重大事项类型和具体界定标准，要求企业及时披露可能影响偿债能力或投资者权益的重大事项。,银行
【证监会主席易会满：着力提高直接融资比重 加快推进投资端改革】证监会主席易会满在中国资本市场建立30周年座谈会上的讲话表示，将着力提高直接融资比重，科学把握各层次股票市场定位，完善各板块差异化制度安排，继续规范发展私募股权和创业投资基金，深入推进债券市场创新发展，积极稳妥发展金融衍生品市场和场外市场，努力形成功能互补、有机联系的多层次资本市场体系。加快推进投资端改革，壮大理性成熟的中长期投资力量，不断拓展市场深度、增强发展韧性。,银行
【华泰证券为QFII/RQFII客户完成A股首批信用账户开立和交易】今日又一家头部券商公布了为外资机构开立信用账户情况，华泰证券表示，昨日已为QFII/RQFII客户成功开立A股市场首批信用账户，并于12月29日完成了QFII/RQFII客户在A股主板、科创板和创业板的融资融券交易。据悉，这是《合格境外机构投资者和人民币合格境外机构投资者境内证券期货投资管理办法》实施后境外投资者首次进行此类交易。,银行
银行板块异动，郑州银行封板，常熟银行、厦门银行、西安银行、苏农银行跟涨。,银行
深证成指涨1%，创业板指涨近2%，白酒概念、石墨电极、煤炭概念板块涨幅居前。,白酒
【午评：创指一度突破2900点沪指涨0.9% 白酒股大爆发】12月30日消息，指数早盘走强，创业板指表现强势。盘面上，白酒板块大幅反抽，锂电板块延续强势，港口航运板块异动拉升。总体上，资金情绪较为积极，但持续性待考，赚钱效应一般。临近午盘，创业板指继续走强，涨幅逼近3%，突破今年7月留下的2896.31阶段高点，刷新创年内新高。盘面上，宁德时代大涨11%带动创指走势，白酒带领酿酒股持续走强。煤炭板块延续强势，汽车板块维持高位。从盘面上看，云游戏、通信设备、数字货币板块涨幅居前，煤炭、光伏、电力板块跌幅居前。,白酒
【午评：三大指数冲高回落沪指涨0.83% 白酒股表现强势】12月31日消息，2020年最后一个交易日，三大指数高开，开盘后指数悉数向上。创业板指突破前高2915.95点，创2015年7月以来新高。盘面上，白酒、光伏延续强势，海运板块随后走高。随后，指数继续走强，创业板指拉升涨逾2%，深成指涨近1.6%。沪指涨近1.3%，逼近年内新高位置。板块方面，大金融板块掀起涨停潮，光伏、白酒板块领涨，资金情绪高涨。临近午盘，三大指数悉数回落，券商板块涨幅收窄，总体上，资金情绪过热过后回归平淡。从盘面上看，证券、海工、光刻胶板块涨幅居前，煤炭、石油、天然气板块跌幅居前。,白酒
【午评：三大指数冲高回落沪指涨0.83% 白酒股表现强势】12月31日消息，2020年最后一个交易日，三大指数高开，开盘后指数悉数向上。创业板指突破前高2915.95点，创2015年7月以来新高。盘面上，白酒、光伏延续强势，海运板块随后走高。随后，指数继续走强，创业板指拉升涨逾2%，深成指涨近1.6%。沪指涨近1.3%，逼近年内新高位置。板块方面，大金融板块掀起涨停潮，光伏、白酒板块领涨，资金情绪高涨。临近午盘，三大指数悉数回落，券商板块涨幅收窄，总体上，资金情绪过热过后回归平淡。从盘面上看，证券、海工、光刻胶板块涨幅居前，煤炭、石油、天然气板块跌幅居前。,银行
【收评：2020年收官 沪指创2018年2月以来新高 券商板块大涨】2020年最后一个交易日，三大指数高开，开盘后指数悉数向上。创业板指突破前高2915.95点，创2015年7月以来新高。盘面上，白酒、光伏延续强势，海运板块随后走高。此后指数继续走强，大金融板块掀起涨停潮，资金情绪高涨。临近午盘，三大指数悉数回落，券商板块涨幅收窄，总体上，资金情绪过热过后回归平淡。午后，三大指数总体震荡回升，生物疫苗板块一度跳水，后疫情板块异动，军工板块发力。临近盘尾，沪指突破前高3465.73点，创2018年2月以来新高，整体市场赚钱效应较好。总结全年，沪指全年涨13%，创业板指大涨64%。从盘面上看，证券、军工、旅游板块涨幅居前，煤炭、石油、燃气水务板块跌幅居前。,白酒
【收评：2020年收官 沪指创2018年2月以来新高 券商板块大涨】2020年最后一个交易日，三大指数高开，开盘后指数悉数向上。创业板指突破前高2915.95点，创2015年7月以来新高。盘面上，白酒、光伏延续强势，海运板块随后走高。此后指数继续走强，大金融板块掀起涨停潮，资金情绪高涨。临近午盘，三大指数悉数回落，券商板块涨幅收窄，总体上，资金情绪过热过后回归平淡。午后，三大指数总体震荡回升，生物疫苗板块一度跳水，后疫情板块异动，军工板块发力。临近盘尾，沪指突破前高3465.73点，创2018年2月以来新高，整体市场赚钱效应较好。总结全年，沪指全年涨13%，创业板指大涨64%。从盘面上看，证券、军工、旅游板块涨幅居前，煤炭、石油、燃气水务板块跌幅居前。,银行
银保监会相关部门负责人就近期媒体关注问题答记者问：下一步，银保监会将抓好《商业银行互联网贷款管理暂行办法》的贯彻落实，加大监督检查力度，推进商业银行互联网贷款业务健康发展。,银行
【2021年券商看好的十大板块：工业金属、新能源汽车、金融、消费电子等】一、工业金属，细分行业包括铜、铝等；二、新能源汽车，细分行业包括钴锂原料、动力电池、充电基础设施等；三、医疗保健，细分行业包括医疗器械、医疗服务、生物医药等；四、休闲服务，细分行业包括餐饮、酒店、免税、化妆品、旅游等；五、食品饮料，细分行业包括酒类、调味品、乳制品等；六、金融；细分行业包括银行、证券、保险等；七、消费电子；细分行业包括苹果产业链、华为产业链、PCB等；八、半导体，细分行业包括半导体设备、半导体材料等；九、国防军工，细分行业包括船舶、航空、国防信息化、材料及加工；十、交通运输，细分行业包括航空机场、快递、物流、航运港口等。（中证报）,白酒
【2021年券商看好的十大板块：工业金属、新能源汽车、金融、消费电子等】一、工业金属，细分行业包括铜、铝等；二、新能源汽车，细分行业包括钴锂原料、动力电池、充电基础设施等；三、医疗保健，细分行业包括医疗器械、医疗服务、生物医药等；四、休闲服务，细分行业包括餐饮、酒店、免税、化妆品、旅游等；五、食品饮料，细分行业包括酒类、调味品、乳制品等；六、金融；细分行业包括银行、证券、保险等；七、消费电子；细分行业包括苹果产业链、华为产业链、PCB等；八、半导体，细分行业包括半导体设备、半导体材料等；九、国防军工，细分行业包括船舶、航空、国防信息化、材料及加工；十、交通运输，细分行业包括航空机场、快递、物流、航运港口等。（中证报）,银行
贵州茅台股价站上2000元大关，距首次突破千元大关仅耗时一年半，当前市值超2.5万亿元。,白酒
创业板指高开高走，涨幅扩大至3%。宁德时代涨超11%创下新高，总市值突破9100亿元。养猪、养鸡、白酒等板块大涨。,白酒
  白酒板块继续走强，酒鬼酒拉升触板，老白干酒、泸州老窖、青青稞酒、洋河股份涨逾5%。,白酒
【午评：沪指涨0.91%站上3500点 猪肉板块现涨停潮】三大指数高开，开盘后创指较为强势，沪指小幅跟涨，盘面上，特斯拉板块大涨，猪肉板块爆发，白酒持续活跃。临近上午收盘，创指一度涨近4%，沪指站上3500点，总体市场成交量明显放大，两市个股涨多跌少，涨停家数增多，赚钱效应较好。从盘面上看，猪肉、白酒、国防军工板块领涨，银行、眼科医疗、保险板块领跌。,白酒
【午评：沪指涨0.91%站上3500点 猪肉板块现涨停潮】三大指数高开，开盘后创指较为强势，沪指小幅跟涨，盘面上，特斯拉板块大涨，猪肉板块爆发，白酒持续活跃。临近上午收盘，创指一度涨近4%，沪指站上3500点，总体市场成交量明显放大，两市个股涨多跌少，涨停家数增多，赚钱效应较好。从盘面上看，猪肉、白酒、国防军工板块领涨，银行、眼科医疗、保险板块领跌。,银行
【收评：A股新年开门红 创指大涨3.8%沪指站上3500点】1月4日消息，三大指数高开，开盘后创指较为强势，沪指小幅跟涨，特斯拉板块大涨，猪肉板块爆发，白酒持续活跃。临近上午收盘，创指一度涨近4%，沪指站上3500点，为2018年1月以来首次。总体市场成交量明显放大，两市个股涨多跌少，涨停家数增多，赚钱效应较好。午后，三大指数高位盘整，农业种植板块异动拉升，汽车板块走强，沪深两市成交额突破1万亿元，总体个股涨多跌少，赚钱效应好。截至收盘，沪指涨0.86%，深证成指涨2.47%，创业板指涨3.77%。从盘面上看，猪肉、白酒、国防军工板块领涨，银行、眼科医疗、保险板块领跌。,白酒
【收评：A股新年开门红 创指大涨3.8%沪指站上3500点】1月4日消息，三大指数高开，开盘后创指较为强势，沪指小幅跟涨，特斯拉板块大涨，猪肉板块爆发，白酒持续活跃。临近上午收盘，创指一度涨近4%，沪指站上3500点，为2018年1月以来首次。总体市场成交量明显放大，两市个股涨多跌少，涨停家数增多，赚钱效应较好。午后，三大指数高位盘整，农业种植板块异动拉升，汽车板块走强，沪深两市成交额突破1万亿元，总体个股涨多跌少，赚钱效应好。截至收盘，沪指涨0.86%，深证成指涨2.47%，创业板指涨3.77%。从盘面上看，猪肉、白酒、国防军工板块领涨，银行、眼科医疗、保险板块领跌。,银行
【中信证券：白酒短长逻辑兼备 抱紧白酒龙头】中信证券研报称，展望未来，白酒结构性景气不变，消费升级下市场份额望持续向龙头集中；龙头酒企望实现高确定的量价齐升、空间明朗，必将成为竞争壁垒更深厚、长期确定性更强的核心资产，因此建议长期战略性配置白酒龙头。短期看，春节旺季渐行渐近，在疫情可控消费恢复&春节延后&低基数效应下，板块望迎开门红，叠加流动性充裕，白酒板块仍有上行空间，建议继续紧抱白酒龙头。,白酒
【摩根士丹利：需求等料能支持白酒股表现 维持对贵州茅台和五粮液的超配评级】摩根士丹利报告称，价格仍是白酒行业2021年的关键因素，且料由领导品牌决定，贵州茅台、五粮液和古井贡酒为行业首选。维持对贵州茅台和五粮液的超配评级，因更强的定价能力和防御能力，目标价分别为2188元和330元。 在次高端中看好古井贡酒，预计其将能在国内安徽市场获得更多市场份额，目标价311元。下调洋河股份评级至低配，因预计市场已经反映了公司基本面拐点，但竞争依然存在，目标价198元。,白酒
【午评：三大指数冲高回落创指跌0.97% 乳业板块表现亮眼】三大指数低开，开盘后指数震荡拉升，三大指数一度全部翻红，创指、深成指盘中创五年新高。盘面上，乳业、白酒板块冲高，煤炭板块领跌。此后指数再度回落，创指跌超1%，深成指涨幅收窄。总体上，两市个股跌多涨少，赚钱效应一般。从盘面上看，乳业、白酒、养殖板块涨幅居前，煤炭、汽车、电力板块跌幅居前。,白酒
【严打哄抬房价，广州专项整治房地产市场秩序】近期，广州市住建部门按照工作计划，正在深入开展房地产市场秩序专项整治行动，严厉打击哄抬房价和虚假房源、虚假广告、虚假销售等违法违规行为，进一步整顿和规范房地产市场秩序，切实维护购房群众合法权益。,房地产开发
  【银保监会提示风险：防范不法分子冒用银行保险机构名义非法集资】近日，银保监会在行业内部下发《关于防范不法分子冒用银行保险机构名义非法集资风险提示的通知》。《通知》称，近期，部分理财公司或平台虚假宣传与保险公司合作，声称投资项目由保险公司担保，保证投资资金安全。监测发现，相关主体涉嫌虚构投资项目、承诺高额收益、面向公众募集资金，存在非法集资隐患。其假借金融机构名义增信，一旦爆雷，风险极易向金融机构传染。,银行
贵州茅台涨近2%，股价突破2100元。,白酒
【收评：三大指数下探回升沪指涨0.6% 电力板块盘尾拉升】三大指数高开，创指一度涨超1%，此后三大指数全线翻绿，创业板指跌超1%。盘面上，军工板块逆市拉升，水泥板块走高，工程基建股异动。午后，三大指数略有回暖，交易量持续走高，盘面上，医药、券商、冷链板块异动，生物科技板块持续走强，白酒板块持续走弱，沪深两市成交额连续第三日突破一万亿元。临近盘尾，三大指数尾盘再度集体翻红，电力板块拉升。总体上，两市交易量持续走高，个股跌多涨少，赚钱效应一般。从盘面上看，造纸、水泥、国防军工板块涨幅居前，半导体、养殖业板块跌幅居前。,白酒
  2021年中国人民银行工作会议召开，会议指出，2021年要稳健的货币政策要灵活精准、合理适度；加快完善宏观审慎政策框架，将主要金融活动、金融机构、金融市场和金融基础设施纳入宏观审慎管理。,银行
大金融板块午后走弱，中原证券大跌8%，厦门银行、青岛银行跌超5%，国盛金控、红塔证券跌逾4%。,银行
北上资金今日净买入立讯精密4.87亿元、万华化学3.63亿元，净卖出五粮液8.26亿元、伊利股份3.45亿元。,白酒
【经济日报评论：入局比特币不能盲目】业内认为，比特币这波暴涨，主要与全球避险情绪有关。目前，比特币交易尚在灰色地带游离，随着未来各国法定数字货币研发及推出，对虚拟货币的管控或打压力度将加大，比特币的投资空间会大大压缩。专家表示，缺少具有公信力的国家或组织为其背书，也没有和任何实物资产挂钩，当主权国家宣布比特币非法时，比特币可能会一文不值。,银行
白酒板块走弱，贵州茅台午后跌超3%，古井贡酒跌5%，山西汾酒、洋河股份、今世缘跟跌。,白酒
白酒股午后跳水，酒鬼酒、贵州茅台、洋河股份、五粮液、山西汾酒等头部白酒股跳水。,白酒
【收评：沪指终结六连阳跌0.22% 口罩股表现活跃】1月8日消息，三大指数高开后全部翻绿，创业板一度跌近1.5%，而后拉升翻红，临近上午收盘，指数总体震荡下行。午后三大指数延续横盘震荡态势，创业板跌逾1%，白酒概念板块走弱，港口航运、有色金属板块拉升，口罩股表现活跃，临近盘尾，三大指数略有回暖，沪深两市成交额连续第五个交易日突破万亿，污水处理板块异动。整体而言，个股涨跌参半，市场赚钱效应较差。盘面上，数字货币、云游戏板块涨幅居前，养殖业、国防军工板块跌幅居前。,白酒
中国央行行长易纲谈2021年金融热点问题：货币政策要“稳”字当头，持续激发市场主体活力。（新华社）,银行
